,estacion,sentido,hora,categoria,cantidad
21224,ANDES,BOG-CHI,9,III,120
21225,ANDES,BOG-CHI,10,III,125
21226,ANDES,BOG-CHI,11,III,142
21227,ANDES,BOG-CHI,12,III,128
21228,ANDES,BOG-CHI,13,III,107
21229,ANDES,BOG-CHI,14,III,78
21230,ANDES,BOG-CHI,15,III,99
21231,ANDES,BOG-CHI,16,III,129
21232,ANDES,BOG-CHI,17,III,96
21233,ANDES,BOG-CHI,18,III,100
21234,ANDES,BOG-CHI,19,III,94
21235,ANDES,BOG-CHI,20,III,81
21236,ANDES,BOG-CHI,21,III,67
21237,ANDES,BOG-CHI,22,III,51
21238,ANDES,BOG-CHI,23,III,33
21239,ANDES,BOG-CHI,0,IV,10
21240,ANDES,BOG-CHI,1,IV,9
21241,ANDES,BOG-CHI,2,IV,18
21242,ANDES,BOG-CHI,3,IV,27
21243,ANDES,BOG-CHI,4,IV,26
21244,ANDES,BOG-CHI,5,IV,46
21245,ANDES,BOG-CHI,6,IV,29
21246,ANDES,BOG-CHI,7,IV,12
21247,ANDES,BOG-CHI,8,IV,36
21248,ANDES,BOG-CHI,9,IV,40
21249,ANDES,BOG-CHI,10,IV,47
21250,ANDES,BOG-CHI,11,IV,52
21251,ANDES,BOG-CHI,12,IV,37
21252,ANDES,BOG-CHI,13,IV,39
21253,ANDES,BOG-CHI,14,IV,54
21254,ANDES,BOG-CHI,15,IV,39
21255,ANDES,BOG-CHI,16,IV,60
21256,ANDES,BOG-CHI,17,IV,33
21257,ANDES,BOG-CHI,18,IV,17
21258,ANDES,BOG-CHI,19,IV,31
21259,ANDES,BOG-CHI,20,IV,28
21260,ANDES,BOG-CHI,21,IV,33
21261,ANDES,BOG-CHI,22,IV,23
21262,ANDES,BOG-CHI,23,IV,7
21263,ANDES,BOG-CHI,0,V,3
21264,ANDES,BOG-CHI,1,V,4
21265,ANDES,BOG-CHI,2,V,8
21266,ANDES,BOG-CHI,3,V,16
21267,ANDES,BOG-CHI,4,V,22
21268,ANDES,BOG-CHI,5,V,24
21269,ANDES,BOG-CHI,6,V,20
21270,ANDES,BOG-CHI,7,V,12
21271,ANDES,BOG-CHI,8,V,17
21272,ANDES,BOG-CHI,9,V,18
